epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0004,1.02045,0.90245,0.99738,0.98938,0.99313,0.99444,0.7923,0.82333,0.63828,0.91225,0.00331839,0.00331839,0.00331839
2,76.0698,0.9627,0.5455,0.95484,0.99572,0.99983,0.99484,0.80605,0.80747,0.47579,0.9105,0.00664513,0.00664513,0.00664513
3,108.661,0.96337,0.57531,0.95373,0.99759,1,0.99452,0.74533,0.9772,0.46843,0.95804,0.00996528,0.00996528,0.00996528
4,142.36,0.99765,0.57248,0.96399,0.99675,0.99968,0.99442,0.76907,0.85789,0.42733,0.92809,0.0099703,0.0099703,0.0099703
5,175.671,0.95861,0.51496,0.96517,0.99747,0.9996,0.99442,0.78915,0.88644,0.40958,0.92212,0.0099604,0.0099604,0.0099604
6,208.286,0.92678,0.47802,0.94982,0.99655,0.99906,0.99463,0.82258,0.80812,0.37787,0.91713,0.0099505,0.0099505,0.0099505
7,241.711,0.91287,0.46836,0.95001,0.99631,0.9974,0.99451,0.84646,0.65463,0.34656,0.88914,0.0099406,0.0099406,0.0099406
8,274.583,0.8902,0.45062,0.93917,0.99825,0.99935,0.99456,0.84671,0.68708,0.37116,0.88181,0.0099307,0.0099307,0.0099307
9,307.561,0.86962,0.4391,0.93427,0.99782,0.99988,0.9949,0.84378,0.6753,0.34174,0.87542,0.0099208,0.0099208,0.0099208
10,340.481,0.87866,0.435,0.93711,0.99748,0.99805,0.99448,0.84123,0.68822,0.3585,0.88234,0.0099109,0.0099109,0.0099109
11,372.686,0.86568,0.43071,0.93326,0.99728,0.99938,0.99467,0.85632,0.64827,0.32134,0.87147,0.009901,0.009901,0.009901
12,406.065,0.866,0.41305,0.93046,0.99813,1,0.99455,0.80676,0.86087,0.33827,0.90872,0.0098911,0.0098911,0.0098911
